text,disease,section
"urine) sample. they might cut or burn themselves. they might poison themselves with drugs, or eat food contaminated with bacteria. someone with munchausen syndrome might try to make their health worse. for example they might rub poo into wounds to cause an infection, or re-open healed wounds. some may spend years travelling to different hospitals faking illnesses. when it’s discovered they’re lying, they may suddenly leave hospital and move to another area. people with munchausen syndrome can be very manipulative. in the most serious cases, they may have painful and life-threatening surgery. they do this even though they know it’s unnecessary. munchausen by internet is where a person joins an internet support group for a serious health condition. this could be for a condition like cystic fibrosis or leukaemia. they then claim to have the illness themselves.",Munchausen syndrome,
"e?] toothache occurs when the innermost layer of the tooth (dental pulp) becomes inflamed. the pulp is made up of sensitive nerves and blood vessels. dental pulp can become inflamed as a result of: there are other conditions that can cause pain similar to toothache, even though the pulp isn’t affected. these include: babies can also experience discomfort when their teeth start to develop. this is known as teething. the type of treatment you have for toothache will depend on the cause of the pain. your dentist will examine your mouth and may carry out an x-ray to try to identify the problem. if your toothache is caused by tooth decay, your dentist will remove the decayed area and replace it with a filling. if your toothache is caused by a loose or broken filling, the filling will be taken out, any decay will be removed, and a new filling put in place. if the pulp inside your tooth is infected, you may need root canal treatment.",Toothache,
"are the first sign of the rash. these turn into a fine pink-red rash that feels like sandpaper to touch and looks like sunburn. it may also be itchy. on darker skin the rash may be more difficult to see although its rough texture should be apparent. the rash usually starts on the chest and stomach, but soon spreads to other parts of the body, like the: the rash doesn’t usually spread to the face. however, the cheeks become flushed and the area just around the mouth stays quite pale. the rash will turn white if you press a glass on it. the rash usually fades after about a week, but the outer layers of skin, usually on the hands and feet, may peel for several weeks afterwards. in milder cases, sometimes called scarlatina, the rash may be the only symptom. other symptoms of scarlet fever may include: if you think you or your child may have scarlet fever, see your gp for a proper diagnosis and appropriate treatment.",Scarlet fever,
"de your pelvis). painkillers, like paracetamol, can help with this. after the miscarriage, you’ll bleed from the vagina. this type of bleeding is called lochia. it’s your body’s way of removing the tissue that formed to help your baby grow. it includes: this bleeding is likely to be heavy for around 2 weeks and then lighter for a further 4-6 weeks. it may have some small lumps or clots in it. the colour will change from red, to pink, to brown. the flow of this bleeding can increase and decrease. do not worry if you find you have lighter days followed by heavier days. this is normal. during this time, you should use external period products (like pads) rather than internal period products (like tampons). this can help to avoid infection. contact your maternity unit if: it’s hard to say when your first normal period will happen. it’s likely it will be about 4 to 6 weeks after your miscarriage.",Late miscarriage,
"at different speeds. all children trip and fall and can appear clumsy at different stages. this is usually due to spells of rapid growth affecting their coordination and is normal. intoeing does not usually make this worse, but sometimes children who intoe a lot appear to trip more often. intoeing can be a part of your child’s development. you can reassure your child and your family that everything is ok. some children prefer sitting in a w position. although this doesn’t do any harm prolonged periods of this can make the intoeing appear more obvious. you can encourage your child to sit in other positions. there’s no evidence that physiotherapy or special insoles make any difference to intoeing. children should be encouraged to remain active and take part in sports.",Intoeing (pigeon toe) in children and young people,
"tem may be used. the higher the grade or category, the more severe the pressure ulcer is. a grade 1 pressure ulcer is the least severe type of ulcer. a grade 1 pressure ulcer may: it may not: this stage of pressure ulcer might be difficult to detect in darker skin tones. in grade 2 pressure ulcers, some of the outer surface of the skin (epidermis) or the deeper layer of skin (dermis) is damaged. this can lead to skin loss. the ulcer looks like an open or burst blister. this can be red or pink. it won’t have any yellow or white in the wound. in a grade 3 pressure ulcer, skin loss can affect the entire thickness of the skin. the tissue underneath is also damaged, but the bone, muscle or tendon are not. the ulcer looks like a deep wound and there might be signs of of dead tissue. for example, there may be white, yellow or green discharge coming from the wound. a grade 4 pressure ulcer is the most severe type of pressure ulcer.",Pressure ulcers,
"tretch] 0:37 0:37 1:00 1:00 stop these exercises if they make your symptoms worse, or cause new pain. if your wrist, hand or finger problem hasn’t improved within 6 weeks of following this advice, it’s a good idea to talk to a healthcare professional about your symptoms. source: nhs 24 msk clinical advisory group last updated: 28 july 2026",Metacarpal fracture of the hand,
"are ways to improve your sexual well-being and to manage any problems. macmillan cancer support have more information about cancer and your sex life. some cancer treatments can affect whether you can get pregnant or make someone pregnant. if you are worried about this, it’s important to talk with your doctor before you start treatment. it can take time to recover after lung cancer treatment. some days you may feel better than others. a healthy lifestyle can help speed up your recovery. even small lifestyle changes may improve your wellbeing and long-term health. even if you already have a healthy lifestyle, you may choose to make some positive changes after treatment. macmillan cancer support have more information on leading a healthy lifestyle after treatment. source: macmillan cancer support last updated: 17 february 2026",Lung cancer,
". this obstruction leads to the development of inflammation and swelling. the pressure caused by the swelling can then lead to the appendix bursting. as the causes aren’t fully understood, there’s no guaranteed way of preventing appendicitis. appendicitis is a common condition. it’s estimated around 1 in every 13 people develop it at some point in their life. appendicitis can develop at any age, but it’s most common in young people aged from 10 to 20 years old. source: nhs 24 last updated: 21 july 2025",Appendicitis,
"a neuroendocrine tumour (net) is a tumour that develops from cells of the neuroendocrine system. neuroendocrine cells are similar to nerve cells. they make chemical messengers called hormones. hormones control how different organs in the body work. neuroendocrine cells are found all over the body. for example, in organs like the stomach, bowel, pancreas and lungs. tumours that develop from the neuroendocrine cells are known as neuroendocrine neoplasms (nens). most nens are neuroendocrine tumours (nets). a smaller number are described as neuroendocrine carcinomas (necs). whether the tumour is described as a net or nec depends on the grade of the tumour. a doctor decides the grade of the cancer by looking at the cancer cells under the microscope. this gives an idea of how quickly the cancer might grow or spread. nets can be non-cancerous (benign) or cancerous (malignant). this information is about malignant nets.",Neuroendocrine tumours,
"econds or minutes. others lose consciousness and have convulsions (uncontrollable shaking of the body). some people might only have a single seizure. if they do not have a high risk of having further seizures, they would not be regarded as having epilepsy. someone has: if you see someone having a seizure, there are some things you can do to help. it will not usually be necessary to call an ambulance after a seizure. if you’re with someone who has a seizure: when the convulsions have stopped, put them into the recovery position until they’ve recovered. status epilepticus is the name for any seizure that lasts longer than 5 minutes, or a series of seizures where the person does not regain consciousness in between. this is a medical emergency and requires treatment as soon as possible. you can be trained to treat status epilepticus if you care for someone with epilepsy.",Epilepsy,
"is recommended, it’ll be prescribed by your doctor. your doctor or nurse may advise you to avoid sex while you’re having treatment for genital warts. the type of treatment you’ll be offered depends on what your warts are like. your doctor or nurse will discuss this with you. treatment options include: you can usually apply this to the warts yourself a few times a week for several weeks. a doctor or nurse freezes the warts with liquid nitrogen, usually every week for 4 weeks. a doctor or nurse can cut or burn the warts off. this is usually only recommended if the warts are not responding or are too large for cream or freezing. side effects of these treatments include: genital warts are not usually harmful during pregnancy. during pregnancy, genital warts may: most creams, liquids and ointments used to treat genital warts are not recommended during pregnancy. freezing can be used but it’s often not very successful.",Genital warts,
"sickle cell disease is the name for a group of blood disorders. the most severe is sickle cell anaemia. these disorders are inherited, meaning they are passed on through your genes. you can have a blood test at any time to find out if you carry the gene for sickle cell disease, or if you have sickle cell disease. sickle cell disease affects how your body produces red blood cells. normal red blood cells are round – red blood cells affected by sickle cell disease harden and become sickle-shaped, like a crescent moon. this causes them to die too quickly and block blood vessels, leading to symptoms that are often painful. people from particular ethnic backgrounds are more likely to have sickle cell disease or carry the gene. you are more likely to have sickle cell disease if you are from one of these ethnic backgrounds: there are treatments to manage sickle cell disease, but no cure yet – it’s a lifelong condition.",Sickle cell disease,
"fractures. the healing process can take many months. you may have a headache for a few weeks. this should be eased with over-the-counter painkillers. because severe head injuries can cause such damage, serious complications can happen. these can sometimes be permanent. complications can include: when you’ve recovered enough to go home, you’ll need someone to take you. you should not drive until you’ve completely recovered. if you’ve been sent home less than 24 hours after your injury happened, you’ll need someone to stay with you until this time has passed. this is to keep an eye out for problems appearing. you may be advised not to take your blood thinning medication for a short period. do not stop taking any medicine that’s been prescribed without checking with your gp or healthcare professional first. you could make yourself very ill.",Severe head injury,
"ent. the groups with an increased risk of developing pneumonia are: pneumonia is a health condition that occurs more often in people living with hiv. if you have been diagnosed with pneumonia and you are under the age of 65, you should be offered an hiv test. if you have been diagnosed with pneumonia but you haven’t been offered an hiv test, you can: testing for hiv when you have pneumonia can help with early diagnosis, treatment and preventing passing it on. source: scottish government last updated: 05 february 2026",Pneumonia,
"r symptoms will get worse when you’re tired. symptoms may improve after resting. symptoms can affect different parts of your body and body functions. you might experience droopy eyelids affecting one or both eyes, and double vision. in some people, only the eye muscles are affected (ocular myasthenia). in most people, symptoms will spread to affect other parts of the body over time. you might experience: muscle weakness might spread to other parts of the body like your arms, legs and neck. you might experience: some people can experience severe breathing and swallowing difficulties, which need immediate hospital treatment. this is called a myasthenic crisis. it’s possible to experience a myasthenic crisis before you know you have myasthenia gravis. you’re experiencing severe: you might need emergency hospital treatment.",Myasthenia gravis,
"more advice on how to give an adult cpr. resuscitation council uk have advice on how to give cpr to a baby (0 to 12 months) or child (1 to 18 years). if you’ve performed cpr on someone, or you’ve seen someone getting cpr, you may find yourself struggling to process what’s happened. chest, heart and stroke scotland (chss) have an advice line with trained healthcare professionals who will listen to you. they’ll help you make sense of your experience and provide advice and support. if you’d like to speak to someone, phone the advice line on 0808 801 0899 or email adviceline@chss.org.uk you can also text advice to 66777. further information on the chss advice line after a cardiac arrest, you’ll be monitored closely in hospital. you may need to be admitted to an intensive care unit or a heart unit during this time. healthcare professionals will investigate the cause of your cardiac arrest.",Cardiac arrest,
"he lesion is causing pain or making everyday tasks difficult. eligibility for these treatments is decided by clinical guidance and your health board. if the benign skin lesion is not causing any problems but is on a visible part of your body, like your face, you may choose to have it removed. you’ll usually have to pay for this privately. make sure the lesion has been checked by a qualified healthcare professional before having it removed. any procedure you have done should be through a reputable private organisation. benign skin lesions can be caused by many things, including: source: centre for sustainable delivery last updated: 27 july 2026",Benign skin lesions,
"e germs causing the infection. this triggers tissue swelling, known as inflammation. this helps to fight the infection and prevent it from spreading. however, an infection can spread to other parts of the body if the immune system is weak or an infection is severe. widespread inflammation can damage tissue and interfere with blood flow. when blood flow is interrupted, blood pressure can drop dangerously low. this stops oxygen from reaching the organs and tissues. sepsis can be triggered by an infection in any part of the body. the most common sites of infection that lead to sepsis are the: however, sometimes the specific infection and source of sepsis can’t be identified. sepsis is often diagnosed by testing your: other tests can help determine the type of infection, where it’s located and which parts of the body have been affected.",Sepsis,
"acute myeloid leukaemia (also called aml or aml leukemia) is a cancer of the blood cells. if you have leukaemia, your body makes some abnormal blood cells. these leukaemia cells behave differently from healthy blood cells. acute means that it develops quickly and needs to be treated straight away. aml is rare. around 3,200 people in the uk are diagnosed with it each year. it can develop at any age. but it’s more common in people who are aged 60 and over. macmillan cancer support have separate information about other types of leukaemia. blood cells are made in the bone marrow, which is found inside our bones. every blood cell grows from a stem cell in the bone marrow. there are 2 types of blood stem cell: the stem cell divides to make an early stage of the blood cell called a blast. usually they stay in the bone marrow until they have fully developed.",Acute myeloid leukaemia,
"micals can also change the shape of the joint over time. this video requires marketing cookies. update your consent. the symptoms of rheumatoid arthritis vary from person to person. they can come and go, and may change over time. symptoms of rheumatoid arthritis that affect the joints include: in some people, firm swellings called rheumatoid nodules also develop under the skin around affected joints. some people with rheumatoid arthritis can experience other symptoms. this includes: rheumatoid arthritis can be difficult to diagnose. this is because many conditions cause joint stiffness and inflammation. you should speak to your gp if you think you have symptoms of rheumatoid arthritis. they will ask about your symptoms and carry out a physical examination to: you gp may also arrange blood tests.",Rheumatoid arthritis,
"ous and get better within a few days or weeks. you won’t usually need to see your gp, unless your symptoms suggest you have a more serious infection. while you recover at home, there are things you can do to improve your symptoms. avoid cough medicines, as there’s little evidence they work. coughing actually helps you clear the infection more quickly by getting rid of the phlegm from your lungs. antibiotics aren’t recommended for many chest infections. this is because they only work if the infection is caused by bacteria. your gp will usually only prescribe antibiotics if they think you have pneumonia. they may also prescribe them you’re at risk of complications like fluid building up around the lungs (pleurisy). if there’s a flu outbreak in your local area and you’re at risk of serious infection, your gp may also prescribe antiviral medication. a chest infection is an infection of the lungs or airways.",Chest infection,
"ops may make your hearing or symptoms a little worse at first before getting better. these can help soften the earwax so that it falls out naturally. there are several different types of eardrops you can use, including drops containing: eardrops aren’t suitable for everyone and some can irritate the skin. you shouldn’t use eardrops if you have a hole or tear in your eardrum. speak to your pharmacist about the right product for you and make sure you read the leaflet that comes with it. your gp or practice nurse will look inside your ears to check if they’re blocked. they might carry out some simple hearing tests. if pharmacy treatment doesn’t work, speak to your gp practice. treatments may include: these treatments are not suitable for everyone. your doctor can discuss this with you. if these treatments don’t help, your gp may refer you to an ear, nose and throat (ent) specialist.",Earwax build-up,
conjunctivitis (or red eye) is a common eye condition. it usually gets better in a few weeks without treatment. conjunctivitis usually causes symptoms in both eyes like: conjunctivitis happens when the conjunctiva becomes inflamed. this is a thin layer of cells covering the front of your eyes. the 3 most common causes of this inflammation are: you don’t need to take time off school or work if you have conjunctivitis unless you’re feeling very unwell. speak to a pharmacist for advice about conjunctivitis. they can suggest eyedrops or antihistamines to help with your symptoms. these can be signs of a more serious eye problem. if your optometrist is closed phone 111. treatment for conjunctivitis will depend on what’s causing it. you may be prescribed antibiotics to treat a bacterial infection.,Conjunctivitis,
ll. it controls how light comes into the eyeball and helps the eye to focus. it also makes a fluid around the lens (the clear inner part of the eye). this fluid keeps your eye healthy. there are 2 main types of eye melanoma: source: macmillan cancer support last updated: 19 march 2026,Eye cancer,
"ncy is. symptoms are commonly experienced around the 6th to 7th week of pregnancy. but, they can appear anywhere between 4 and 12 weeks of pregnancy. symptoms of an ectopic pregnancy might include: read more about ectopic pregnancy symptoms you may be pregnant and: you may be pregnant and: contact your gp or your local early pregnancy service. if your gp is closed, contact nhs 24 on 111. in an emergency situation, an ectopic pregnancy will be diagnosed quickly. you’ll receive treatment straight away. if you only have mild symptoms, diagnosing an ectopic pregnancy can take a little longer. your doctor, nurse or midwife will run tests to see if your pregnancy is ectopic. these tests may include: most ectopic pregnancies are diagnosed with a transvaginal ultrasound scan. however, it’s quite common for your first ultrasound scan will not show where your pregnancy is.",Ectopic pregnancy,
"returning, make sure any cuts, scratches or bites are kept clean. ensure any condition that causes broken skin, such as eczema, is treated promptly. if you develop impetigo frequently, your doctor may suggest taking a swab from around your nose to see if you carry staphylococcal bacteria. these bacteria can live in the noses of some people without causing problems, although they can lead to impetigo if they infect broken skin nearby. if you’re found to carry these bacteria, you may be prescribed an antiseptic nasal cream to apply several times a day for 5 to 10 days in an attempt to clear the bacteria and reduce the chances of impetigo recurring. complications of impetigo are rare, but they can sometimes occur and can be serious. tell your pharmacist if you have impetigo and your symptoms change or get worse.",Impetigo,
"feeling thirsty all the time and for no good reason isn’t normal and should be investigated by your gp. thirst is normally just the brain’s way of warning that you’re dehydrated because you’re not drinking enough fluid. but excessive and persistent thirst (known as polydipsia) could be a sign of an underlying problem such as diabetes. you will usually feel thirsty because you’re not drinking the amount of fluid your body needs. this may be because you’ve been sweating heavily or you’ve lost fluid because you have diarrhoea and are vomiting. you can soon quench your thirst and restore the fluid balance in your body by having a drink and ensuring you remain well hydrated. it’s particularly important to stay well hydrated during hot weather, while exercising and while you’re unwell with vomiting and diarrhoea. in some cases, thirst may be caused by something as simple as a recent meal or snack.",Thirst,
"casionally, the body rash may come and go for a few weeks after the infection has passed. this can be triggered by exercise, heat, anxiety or stress. you don’t usually need to see your gp if you think you or your child has slapped cheek syndrome as it normally gets better on its own. you’ve been exposed to anyone with slapped cheek syndrome or you have symptoms of the infection and: if your gp is closed, phone 111. in these cases, a blood test may be carried out to see if you’re immune to the infection. if you’re not immune, you’ll be monitored carefully to check for any problems. if you develop severe anaemia, it’s likely that you’ll be sent to hospital for a blood transfusion. slapped cheek syndrome is usually mild and should clear up without specific treatment. if you or your child is feeling unwell, there are things you can do help ease the symptoms.",Slapped cheek syndrome,
"ake suggestions about memory making. take some time to think about it beforehand if you can. you might be unsure about what your baby will look like. the doctor or midwife looking after you can describe your baby. depending on how far along in your pregnancy you are, you may be able to see and hold them if you want to. you may also ask medical professionals to take a photo for you to look at later in private. it may not be possible to tell the sex of your baby. this is something you can talk about with your doctor or midwife. some people prefer to think of their baby as one sex or the other. there’s no right or wrong way to approach this. you may also like to invite other family members to spend time with your baby. it is, however, your choice. whatever you choose, the medical professionals caring for you will support your choices. there is no formal registration process for babies lost before 24 weeks.",Late miscarriage,
"using a condom. your partner should also get tested for syphilis. it can be hard to spot in its early stages and they might not realise they have it. they will generally be offered treatment regardless. in scotland, pregnant women are tested for syphilis as part of their antenatal checks. if you’re pregnant and have syphilis, you can pass it on to your baby before they’re born. this is known as congenital syphilis. having syphilis during pregnancy can increase the risk of: you can get syphilis by having unprotected vaginal, anal or oral sex (sex without a condom). around one third of all people who get syphilis do so through having unprotected oral sex with no other vaginal or anal sex involved. it can also be passed by coming into contact with an ulcer on your partners penis, vagina, anus or inside their mouth. syphilis can be passed on: syphilis also makes hiv easier to pass on and catch.",Syphilis,
"ring this time, hiv continues to be active and causes damage to your immune system. this means many people who have hiv do not know they’re infected. once the immune system becomes severely damaged symptoms can include: if you think you might have hiv, get tested for free by: services available may vary depending on where you live. some private clinics may offer hiv testing, but they may charge. anyone who thinks they may have hiv should get tested. anyone who has ever been sexually active should consider testing for hiv at least once. some people are at a higher risk and are advised to have regular tests. for example: some health conditions occur more often in people who are living with hiv. you may be advised to have an hiv test if you’re diagnosed with: most people diagnosed with these conditions will not have hiv, but a test is recommended to make sure.",HIV,
"n should be given. this should be given in the opposite thigh. a second dose may also be needed if the person improves and then becomes unwell again. the person should lie flat, with their legs raised on a chair or a low table. if they are having difficulty breathing, they should sit up to make breathing easier. if the person is unconscious, you should move them to the recovery position – on their side, supported by one leg and one arm, with the head tilted back and the chin lifted. if the person’s breathing or heart stops, cardiopulmonary resuscitation (cpr) should be performed. further treatment will be carried out in hospital. read more about treating anaphylaxis. anaphylaxis is the result of your body’s immune system overreacting to a harmless substance, such as food. substances that trigger allergic reactions are known as allergens.",Anaphylaxis,
"n and severe pain in the abdomen. if you suspect that you or someone else has had a ruptured aneurysm, call 999 immediately and ask for an ambulance. it’s not known exactly what causes the aortic wall to weaken, although increasing age and being male are known to be the biggest risk factors. there are other risk factors you can do something about, including smoking and having high blood pressure and cholesterol level. having a family history of aortic aneurysms also means that you have an increased risk of developing one yourself. because aaas usually cause no symptoms, they tend to be diagnosed either as a result of screening or during a routine examination – for example, if a gp notices a pulsating sensation in your abdomen. the screening test is an ultrasound scan, which allows the size of your abdominal aorta to be measured on a monitor. this is also how an aneurysm will be diagnosed if your doctor suspects you have one.",Abdominal aortic aneurysm,
"ctor can examine your ears to see if the problem might be caused by a condition they could easily treat, such as an ear infection or earwax build-up. they can also check if you have any hearing loss. if needed, your gp can refer you to a specialist for further tests and treatment. tinnitus can develop slowly over time or happen suddenly. it’s not known exactly why it happens but it’s often linked to: most people have tinnitus for a short time after being exposed to loud noises, such as after a music concert. around 1 in 10 people have persistent tinnitus. around 1 in 100 having severe tinnitus that affects their daily life. tinnitus can affect people of all ages, including children. it’s more common in people aged over 65. there’s currently no treatment for tinnitus that works for everyone. if your tinnitus is caused by an underlying condition, then treating that condition may help your tinnitus.",Tinnitus,
"shigella is a bowel infection that can cause severe diarrhoea. it’s caused by bacteria called shigella. shigella bacteria is most commonly found in faeces (poo). it’s usually caused by food contamination. anyone can get shigella, however it’s most common in young children. shigella can also be passed on through sex. most people with shigella infection have mild symptoms that settle within a few days. symptoms of shigella include: symptoms usually start 1 to 3 days after infection and can last up to 1 week. contact your local sexual health service if: when you visit your gp or nurse, they’ll discuss your symptoms and ask about your recent travel history. you should also tell your gp or nurse if you think you have got the infection from sex. they may recommend further tests to confirm shigella infection. testing for shigella infection involves sending a sample to a lab for analysis.",Shigella,
"ist if you: they may recommend: the bugs that cause gastroenteritis can spread very easily from person to person. you can catch the infection if small particles of vomit or poo from an infected person get into your mouth. this can happen through: eating contaminated food can also put you at risk. this can happen if: a person with gastroenteritis is most infectious from when their symptoms start until 48 hours after all their symptoms have passed. however, they may also be infectious for a short time before and after this. it’s not always possible to avoid getting gastroenteritis, but following this advice can help stop it spreading. العربية | 简体中文 | polski | română | اردو",Gastroenteritis in adults,
"eating disorders are serious mental health conditions. someone with an eating disorder will have eating behaviours like eating too much or too little regularly. they’ll also spend a lot of time thinking about food and their weight or body shape. eating disorders can have a significant impact on health, wellbeing, and relationships. they can also have an impact on your day to day activities. there are different types of eating and feeding disorders, including: beat estimate that around 1.25 million people in the uk have an eating disorder. eating disorders can affect people of all ages, genders, cultures, ethnicities and backgrounds. with treatment, most people can experience an improved quality of life. eating disorders often first present in childhood or adolescence. they can impact on the young person as well as their family members or carers.",Eating disorders,
"f bulimia nervosa, you can offer help and support. you could try talking to them about how they feel, and encourage them to think about getting help. try not to put pressure on them or be critical of them, as this could make things worse. you could also offer to help by going with the person to see their gp. you could speak to your own gp or a healthcare professional if you’d like some advice on how to help someone. you could also get help from an online or in person support group for people who have loved ones with eating disorders. your gp or healthcare professional can help you find services suitable for you. if you’re at school your pastoral care team might also be able to help.",Bulimia nervosa,
"and tonsillitis. you should phone your gp first before visiting. they can make arrangements to reduce the risk of spreading the infection to others. your gp can usually make a diagnosis after: if your gp suspects mumps, they should notify your local health protection team (hpt). most cases of mumps occur in people aged between 17 and 34 who have not received 2 doses of the mmr vaccine. once you’ve had mumps, your body builds up resistance (immunity) to the virus. it’s highly unlikely you’ll get it again. the mumps virus is contained in tiny droplets that come out of the nose and mouth when an infected person coughs or sneezes. you can easily catch mumps by breathing in these droplets. or, if the droplets have settled on a surface, by touching the surface and then placing your hands near your nose or mouth. a person is most contagious a few days before the symptoms develop and for a few days afterwards.",Mumps,
"at the top of the vagina. the other type is adenocarcinoma. this develops from a different type of cell found in the cervical canal (the endocervix). rarer types of cervical cancer include: these are much less common and may be treated differently. if you need more information, macmillan cancer support’s cancer support specialists may be able to help. very early-stage cervical cancer may not cause any symptoms. it’s usually found and treated because of cervical screening tests. symptoms of cervical cancer include: macmillan cancer support have more information about the signs and symptoms of cervical cancer. if you get symptoms between your regular cervical screening appointments, don’t wait for your next appointment. talk to your gp or practice nurse and get checked. these symptoms can be embarrassing, but your gp or practice nurse will understand.",Cervical cancer,
"you may have intensive treatment or less intensive treatment. less intensive treatments include: usually, a combination of these treatments is used. some people might have intensive treatment. this depends on how the myeloma is affecting you and your general health. if your doctor thinks this treatment is suitable for you, they’ll talk with you about this. your doctor may suggest continuing treatment until they get the best possible response for you. or you may be given treatment for as long as it controls the myeloma. this is called continuous or maintenance treatment. macmillan cancer support have more information about treatment for myeloma. you may be offered some treatments as part of a clinical trial. myeloma can cause symptoms if it affects areas of the body like the bones, kidneys, blood or nerves. symptom control is an important part of treatment for anyone diagnosed with myeloma.",Myeloma,
f the skin. there are some other types of cancer that can affect the skin. these are much less common than bcc and scc. they are treated differently. macmillan cancer support have separate information about the following types: source: macmillan cancer support last updated: 17 april 2026,Skin cancer,
"he ball of the foot. some common causes include: pain in the ball of the foot can also be related to health issues, including arthritis and diabetes. exercises should relieve pain and improve flexibility in the affected foot. to do this try exercises designed to stretch both your calf muscles and strengthen the muscles in your feet learn about exercises for foot conditions while recovering you should try to stay as active as you can. a little activity is better than nothing. continue to stay within acceptable pain limits but remember you don’t need to be pain free. aim to do a little bit more each day or every few days. the following can help to reduce the pain. pain medication can help you move more comfortably, which can help manage your symptoms. more about taking painkillers. you should avoid wearing hard, unsupportive, flat-soled shoes because they won’t provide your foot with support.",Pain in the ball of the foot,
"e pregnant or breastfeeding. it can also interact with the contraceptive pill. there isn’t one single cause of depression. it can have a range of triggers and there are many reasons people develop the condition. sometimes people develop depression without an obvious cause. some people are affected by depression after a stressful life event. for example: other things that can increase your risk of depression include: depression can be difficult to deal with but there are ways you can look after yourself. for example, you should talk to people you trust about your depression. you could also try something creative like art, poetry or writing a journal. this can help you to express how you’re feeling. further information on looking after your mental wellbeing work through a self-help guide for depression that uses cognitive behavioural therapy (cbt).",Depression,
"advice on breathing exercises. most people who have been diagnosed with mesothelioma are able to receive financial help. this may be through compensation from an employer, or government benefits, like industrial injuries disablement benefit. it’s important to get advice from a specialist solicitor. macmillan cancer support have more information about compensation and benefits for people with mesothelioma. source: macmillan cancer support last updated: 03 february 2026",Mesothelioma,
rently. get advice about visiting care homes when there’s an outbreak the self-isolation support grant closed on 5 january 2023. visit the scottish government’s cost of living support to find out about other financial help available. source: public health scotland last updated: 29 may 2026,Coronavirus (COVID-19),
"rheumatoid arthritis is a long-term condition. it can cause: it can also cause deformity of the joints. it normally affects the hands, wrists and feet. but, other joints and parts of the body are sometimes also affected. rheumatoid arthritis is an autoimmune condition. this means it’s caused by the body’s immune system attacking itself. the immune system helps to defend our body from infections. but, in rheumatoid arthritis the immune system sends antibodies to the lining of the joints by mistake. the antibodies then attack the tissues surrounding the joint. this causes the thin layer of cells (synovium) covering the joints to become sore and inflamed. inflammation also causes chemicals to be released. these chemicals thicken the synovium and damage the: the chemicals can also change the shape of the joint over time. this video requires marketing cookies. update your consent.",Rheumatoid arthritis,
"nce, anxiety, depression and reduced quality of life. once you have broken your hip, your risk of another broken bone and further falls is increased. your healthcare professional will discuss how to improve your bone health and help prevent further falls. you may find it uncomfortable but it is important to be mobile as soon after the operation as possible. the scottish hip fracture audit have set standards of care that aim to improve the quality of your care in hospital. information on how hospitals are meeting these standards is collected so that they can identify any improvements needed. read about how the data is used and published after you have been discharged from hospital if you are not improving, or it’s got worse, it’s a good idea to talk to your gp practice about your symptoms. when dealing with any health condition it’s important to also look after your mental wellbeing as this can impact your recovery. about your symptoms. when dealing with any health condition it’s important to also look after your mental wellbeing as this can impact your recovery. source: phs last updated: 28 july 2026",Fragility fracture of the hip,
"obesity is a chronic condition. having obesity means you have too much body fat which could cause risks to your health. obesity is a complex condition that has more than one cause. obesity and overweight is caused when extra calories are stored in your body as fat. obesity is becoming a more common problem. this is because the environment you live in makes it hard for you to make healthy food choices. it also makes physical activity difficult. some things that can contribute to obesity and overweight are: there are also some underlying health conditions that can contribute to weight gain. these include: if conditions like these are treated and diagnosed, they won’t be as much of barrier to you losing weight. genetics can also be a cause of obesity as your genes can affect how your body stores and uses fat. there are still things you’ll be able to do, though, to try to maintain a healthy weight.",Obesity,
"macist] if you get cold sores, a pharmacist may recommend: you can buy electronic devices from pharmacies that treat cold sores with light or lasers. some people find these helpful, but there have not been many studies to confirm if they work. if you regularly get cold sores, use antiviral creams as soon as you recognise the early tingling feeling. they do not always work after blisters appear. if your cold sores are very large, painful and keep coming back, your gp may prescribe antiviral tablets. newborn babies, pregnant women and people with a weakened immune system who have cold sores may be referred to hospital for advice or treatment. cold sores are usually caused by the herpes simplex virus type 1 (hsv-1). in most cases, the virus is passed on in early childhood. for example, when a child is kissed by a family member or friend with a cold sore.",Cold sore,
"pes of cancers are included in the less common group, including: but again, there are subtypes of less common cancers which can be described as rare. for every 100 people diagnosed with cancer in the uk each year, around 24 will have a rare cancer type. in the uk and europe, experts believe a cancer is rare if less than 6 in 100,000 people each year are diagnosed with it. there are many different types of cancer that are considered to be rare. only a small number of people are diagnosed with these cancer types every year. you may have heard of some of these before. they include: but there are many rare cancers that most people have not heard of. these can start anywhere in the body and include: macmillan cancer support have more information about some of these types of cancer in their a to z list. there are many reasons why a cancer type is rare. it could be for one of the following reasons.",Rare cancers,
"ue to drowning, choking, anaphylaxis, electrocution or sepsis. often there’s no clear cause for cardiac arrest. this is known as an idiopathic cause. source: scottish government last updated: 18 august 2026",Cardiac arrest,
"bow legs mean that there is a gap between the knees when the ankles are pressed together. knock knees are present when there is a gap between the ankle bones when the knees are pressed together. in most children, its normal to have bow legs and knock-knees as they are growing. all children are born with bow-legs and these are usually present until about the age of 2. after this they become knock-kneed. the degree of knock-knee is most obvious between ages of 3 to 4. the legs then gradually straighten reaching an adult shape by the age of 10 to 12. toddlers learning to walk often have their feet further apart for support. this can also make the legs appear more bowed. if your child is above a healthy weight they are more likely to look knocked kneed. making sure your child follows the recommended activity guidelines will help your child maintain a healthy weight.",Bow legs and knock knees in children and young people,
